Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Future Value Notional
Fixed,0.4,nan,0.0,ACT/360,20000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EONIA-OIS-COMPOUND.1Y.EUR-EONIA-OIS-COMPOUND,0.0,ACT/360,20000000.0,EUR,MTH,MTH,0.0
Fixed,0.4,nan,0.0,ACT/360,10000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EONIA-OIS-COMPOUND.1Y.EUR-EONIA-OIS-COMPOUND,0.0,ACT/360,10000000.0,EUR,MTH,MTH,0.0
Fixed,0.4,nan,0.0,ACT/360,10000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EONIA-OIS-COMPOUND.1Y.EUR-EONIA-OIS-COMPOUND,0.0,ACT/360,10000000.0,EUR,MTH,MTH,0.0
Fixed,1.09,nan,0.0,ACT/365.FIXED,40000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-BBR-FRA.3M.NZD-BBR-FRA,0.0,ACT/365.FIXED,40000000.0,NZD,MTH,MTH,0.0
Fixed,1.146,nan,0.0,ACT/360,300000000.0,NOK,MTH,MTH,Float,0.0,NOK.NOK-NIBOR-OIBOR.6M.NOK-NIBOR-OIBOR,0.0,ACT/360,300000000.0,NOK,MTH,MTH,0.0
Fixed,0.027,nan,0.0,ACT/360,5000000.0,EUR,MTH,MTH,Float,0.0,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,0.0,ACT/360,5000000.0,EUR,MTH,MTH,0.0
Fixed,4.336,nan,0.0,ACT/365.FIXED,800000000.0,ZAR,MTH,MTH,Float,0.0,ZAR.ZAR-JIBAR-SAFEX.3M.ZAR-JIBAR-SAFEX,0.0,ACT/365.FIXED,800000000.0,ZAR,MTH,MTH,0.0
Fixed,1.6425,nan,0.0,ACT/365.FIXED,11000000000.0,KRW,MTH,MTH,Float,0.0,KRW.KRW-CD-KSDA-Bloomberg.3M.KRW-CD-KSDA-Bloomberg,0.0,ACT/365.FIXED,11000000000.0,KRW,MTH,MTH,0.0
Fixed,0.609,nan,0.0,ACT/360,43000000.0,CHF,MTH,MTH,Float,0.0,CHF.CHF-LIBOR-BBA.6M.CHF-LIBOR-BBA,0.0,ACT/360,43000000.0,CHF,MTH,MTH,0.0
Fixed,0.33,nan,0.0,ACT/360,17000000.0,CHF,MTH,MTH,Float,0.0,CHF.CHF-LIBOR-BBA.6M.CHF-LIBOR-BBA,0.0,ACT/360,17000000.0,CHF,MTH,MTH,0.0
Fixed,0.664,nan,0.0,ACT/360,30000000.0,CHF,MTH,MTH,Float,0.0,CHF.CHF-LIBOR-BBA.6M.CHF-LIBOR-BBA,0.0,ACT/360,30000000.0,CHF,MTH,MTH,0.0
Fixed,0.441,nan,0.0,ACT/360,12000000.0,CHF,MTH,MTH,Float,0.0,CHF.CHF-LIBOR-BBA.6M.CHF-LIBOR-BBA,0.0,ACT/360,12000000.0,CHF,MTH,MTH,0.0
Fixed,0.31,nan,0.0,ACT/365.FIXED,580000000.0,NZD,MTH,MTH,Float,0.0,NZD.NZD-NZIONA-OIS-COMPOUND.1T.NZD-NZIONA-OIS-COMPOUND,0.0,ACT/365.FIXED,580000000.0,NZD,MTH,MTH,0.0
Fixed,1.7465,nan,0.0,ACT/360,52000000.0,USD,MTH,MTH,Float,0.0,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,0.0,ACT/360,52000000.0,USD,MTH,MTH,0.0
